2303,10
2304,10
2306,10
2305,10
2301,10
2302,10
2312,11
2311,11
2310,11
2309,11
2308,11
2307,11
2313,20
2314,20
2317,20
2316,20
2315,20
2319,30
2320,30
2318,30
2322,31
2321,31
2323,31
2324,32
2325,32
2326,32
2329,33
2328,33
2327,33
2330,33
2333,40
2332,40
2331,40
2336,41
2335,41
2334,41
2338,42
2337,42
2340,42
2339,42
2343,50
2342,50
2341,50
2346,51
2345,51
2344,51
2347,60
2349,60
2348,60
2351,61
2350,61
2352,62
2354,62
2353,62
2355,70
2356,70
2358,71
2357,71
2359,80
2360,80
2361,81
2362,81
2364,82
2363,82
2365,90
2366,91
