2010,10
2110,10
2011,11
2111,11
2012,12
2112,12
2013,13
2113,13
2014,14
2114,14
2020,20
2120,20
2021,21
2121,21
2022,22
2122,22
2023,23
2123,23
2024,24
2124,24
2030,30
2130,30
2031,31
2131,31
2032,32
2132,32
2033,33
2133,33
2040,40
2140,40
2041,41
2141,41
2042,42
2142,42
2043,43
2143,43
2050,50
2150,50
2051,51
2151,51
2052,52
2152,52
2053,53
2153,53
2054,54
2154,54
2060,60
2160,60
2061,61
2161,61
2062,62
2162,62
2063,63
2163,63
2064,64
2164,64
2070,70
2170,70
2071,71
2171,71
2072,72
2172,72
2073,73
2173,73
2080,80
2180,80
2081,81
2181,81
2082,82
2182,82
2083,83
2183,83
